fake_name,point,Work_accident,mission,satisfaction_level,promotion_last_5years,last_evaluation,impact,Department,level,somebody,left,research,average_montly_hours,xy,camera,number_project,time_spend_company,from,significant,fake_date_of_birth,his,fake_zipcode,fake_misc,fake_surname,salary,xyz,me
Melissa,1.2161918904464908,0.0,-1.84835504102707,0.16,0.0,0.56,0.03,Administration,1.6966859104127563,1.22,0.0,-0.32573377916982876,152.0,'through',0.07,5.0,5.0,1.22,28789,1941-06-21,-1.6966859104127563,91366,'region',Leach,medium,different,1.6966859104127563
Katherine,0.2957207706615612,0.0,-2.3372723991921407,0.78,0.0,0.59,0.03,Sales,nan,0.3,0.0,0.4706859097988497,180.0,'want',0.07,4.0,3.0,0.3,19559,1918-05-24,-2.4158574681839573,79072,'reality',Roth,low,station,2.4158574681839573
Haley,1.1044407201450366,0.0,nan,0.11,0.0,0.87,0.03,,0.7592103455639196,-1.1,1.0,0.9271315679106802,301.0,nan,0.07,6.0,4.0,-1.1,25923,2004-03-25,-0.7592103455639196,99167,nan,Ellis,low,name,0.7592103455639196
Denise,0.9029050678970869,0.0,-0.6619464880697826,0.73,0.0,0.94,0.03,Customer Service,nan,-0.9,0.0,0.8343386125767361,262.0,'even',0.07,4.0,3.0,-0.9,22728,1985-09-25,-0.8989600301046964,10446,'social',Garcia,low,likely,0.8989600301046964
Sean,0.7955551417637562,0.0,-0.6775226445451399,0.86,0.0,0.51,0.03,Inventory Management,nan,0.8,0.0,-0.3679048934809177,185.0,'guess',0.07,3.0,2.0,0.8,17221,1926-11-14,-0.5457995528783932,64484,'trade',Proctor,medium,go,0.5457995528783932
Denise,1.2990839352248047,0.0,-0.4520571289287334,0.57,0.0,0.82,0.03,Inventory Management,0.7624662980004698,-1.3,0.0,1.0546929323799075,269.0,'less',0.07,4.0,2.0,-1.3,26157,1991-04-19,-0.7624662980004698,37868,'here',James,medium,resource,0.7624662980004698
Raymond,0.491035023223646,0.0,-1.5071398281079906,0.45,0.0,0.53,0.03,Customer Service,1.7061987931413571,-0.49,1.0,0.7878865797141527,131.0,'when',0.07,2.0,3.0,-0.49,23202,1941-08-01,-1.7061987931413571,80956,'big',Cobb,medium,site,1.7061987931413571
Penny,1.2752793743577413,1.0,-1.9413374044774274,0.92,0.0,0.84,0.03,Inventory Management,1.7824941871342972,1.28,0.0,-0.3406324238659509,220.0,'matter',0.07,3.0,3.0,1.28,12605,1941-12-24,-1.7824941871342972,52227,'sometimes',Fleming,high,teacher,1.7824941871342972
Jill,0.4451694509712889,0.0,-0.9178766113028064,0.49,0.0,0.65,0.03,Inventory Management,0.8771194862264821,0.45,0.0,-0.048940587395992476,168.0,'manager',0.07,3.0,4.0,0.45,10437,1974-10-05,-0.8771194862264821,77400,'rise',Chavez,medium,charge,0.8771194862264821
Jeffery,1.3126684207823403,0.0,-0.7696507714054566,0.45,0.0,0.47,0.03,Sales,0.5310067904106381,1.31,1.0,-0.7084863060735325,160.0,'just',0.07,2.0,3.0,1.31,15129,1987-12-21,-0.5310067904106381,26304,'sometimes',Perry,low,participant,0.5310067904106381
Jay,0.5037148161465916,0.0,0.019911773023325217,0.64,0.0,0.78,0.03,Inventory Management,nan,0.5,0.0,-0.3636965493431744,200.0,'ago',0.07,5.0,3.0,0.5,25128,1917-04-04,-0.13076890951782283,37965,'social',West,medium,about,0.13076890951782283
Ashley,0.677142350701255,0.0,0.11979720652442029,0.16,0.0,0.76,0.03,Inventory Management,-0.2745120159584915,0.68,0.0,-0.5160139088071136,192.0,'plant',0.07,5.0,3.0,0.68,12394,2016-03-05,-0.2745120159584915,99019,nan,Franklin,medium,environmental,0.2745120159584915
Kristine,0.48510672336789273,0.0,-2.6942672101162306,1.0,0.0,0.87,0.03,Marketing,2.753464749018552,0.49,0.0,0.4401097626137789,268.0,'sea',0.07,4.0,2.0,0.49,24015,2001-02-23,-2.753464749018552,51783,'trade',Perez,medium,determine,2.753464749018552
Frank,1.5308778607139384,0.0,-0.15241294865004335,0.8,0.0,0.83,0.03,Customer Service,0.49494790335728245,-1.53,1.0,1.1321056263241072,211.0,'PM',0.07,2.0,3.0,-1.53,28779,1951-05-03,-0.49494790335728245,39086,'need',Lopez,low,resource,0.49494790335728245
Elizabeth,0.6858829588815567,0.0,-1.2396138571907862,0.83,0.0,0.61,0.03,,1.4647213018796306,-0.69,0.0,0.8484039934561651,262.0,'available',0.07,4.0,4.0,-0.69,21595,1948-06-28,-1.4647213018796306,11239,'become',Jordan,low,themselves,1.4647213018796306
Brooke,1.1212529938587656,0.0,-0.6228118589572932,0.72,0.0,0.86,0.03,,0.9049577765546427,-1.12,0.0,0.9780788497743027,137.0,nan,0.07,4.0,2.0,-1.12,10565,1974-05-29,-0.9049577765546427,93050,'individual',Daugherty,low,threat,0.9049577765546427
Samantha,0.1739150305632431,0.0,-2.2473029999937792,0.34,0.0,0.88,0.03,Sales,2.3468977805997966,0.17,0.0,0.5310243968852096,131.0,'each',0.07,5.0,6.0,0.17,14476,1959-06-12,-2.3468977805997966,22291,'matter',Petersen,low,whatever,2.3468977805997966
Angelica,0.07809930179160851,0.0,-2.1762973975241495,0.28,0.0,0.89,0.03,Manager,2.292404728666325,0.08,0.0,0.5784203726487881,97.0,'friend',0.07,4.0,6.0,0.08,12718,1947-05-22,-2.292404728666325,46260,'report',Powell,low,good,2.292404728666325
Phyllis,1.601056066957712,0.0,0.04378384172817184,0.79,0.0,0.74,0.03,,0.30202642931768464,-1.6,0.0,1.12482013158038,158.0,'behavior',0.07,2.0,3.0,-1.6,11438,1916-12-19,-0.30202642931768464,81496,'once',Gentry,medium,every,0.30202642931768464
Emily,0.13034126146154568,0.0,-0.46545388743892496,0.37,0.0,0.37,0.03,Administration,0.4655516759820091,0.13,0.0,0.04296787658549239,168.0,'team',0.07,3.0,3.0,0.13,24987,2005-06-26,-0.4655516759820091,46496,'drive',Morgan,low,that,0.4655516759820091
Allen,1.515260442800754,0.0,-0.3877342900396712,0.73,0.0,0.69,0.03,Sales,0.0816350898960565,1.52,0.0,nan,161.0,'I',0.07,3.0,3.0,1.52,27363,1952-10-15,-0.0816350898960565,35439,'usually',Andrews,low,capital,0.0816350898960565
Pamela,1.069911669753575,0.0,-0.5767906456505036,0.49,0.0,0.54,0.03,Sales,0.8449467905274576,-1.07,0.0,0.9281950560611524,214.0,'special',0.07,6.0,3.0,-1.07,22528,1942-07-18,-0.8449467905274576,67825,'show',Ross,high,born,0.8449467905274576
Rachel,0.6594165915023942,0.0,-1.0884207314908902,0.42,0.0,0.56,0.03,Sales,1.298520205849474,-0.66,1.0,nan,156.0,'figure',0.07,2.0,3.0,-0.66,11676,1932-01-25,-1.298520205849474,08876,'attention',Arnold,medium,among,1.298520205849474
Dorothy,0.7320392849375463,0.0,-1.3282333764487475,0.82,0.0,0.89,0.03,,1.2501339587791418,0.73,0.0,-0.13323719175754414,239.0,'pass',0.07,4.0,2.0,0.73,20697,1980-06-29,-1.2501339587791418,85067,'usually',Moore,medium,two,1.2501339587791418
Mike,1.3064865125099447,0.0,-0.39895385864232386,0.74,0.0,0.81,0.03,Sales,0.7077263851457998,-1.31,0.0,nan,106.0,'maintain',0.07,5.0,5.0,-1.31,23753,2002-02-26,-0.7077263851457998,77967,'age',Bennett,medium,fish,0.7077263851457998
Michael,0.4343149744350142,0.0,-1.5353632035156326,0.8,0.0,0.82,0.03,Manager,1.7238025968055164,-0.43,0.0,0.7558070591631783,175.0,'theory',0.07,4.0,2.0,-0.43,10524,1976-01-31,-1.7238025968055164,83133,'always',Marshall,low,individual,1.7238025968055164
Daniel,1.315576177777312,1.0,-2.7223696556347448,0.91,0.0,0.52,0.03,Manager,2.6025248137483192,1.32,0.0,-0.1417651162272958,172.0,'ready',0.07,4.0,4.0,1.32,15031,1986-05-30,-2.6025248137483192,05956,'old',Davis,high,growth,2.6025248137483192
Scott,0.7381438812696127,0.0,-0.9866725690361857,0.37,0.0,0.57,0.03,Sales,1.2076848254813293,-0.74,1.0,0.8118594944876257,130.0,'training',0.07,2.0,3.0,-0.74,29751,1986-08-23,-1.2076848254813293,60215,'focus',Harris,low,fish,1.2076848254813293
Amy,0.9765640791894533,0.0,-2.05728449761154,0.75,0.0,0.69,0.03,Sales,1.970551630089148,0.98,0.0,-0.09461786605700558,274.0,'from',0.07,3.0,2.0,0.98,14259,1977-05-06,-1.970551630089148,04374,'lose',Massey,medium,anything,1.970551630089148
Michael,1.8067845311105768,0.0,-1.2997532000459586,0.61,0.0,0.68,0.03,Marketing,0.9859812780042356,1.81,0.0,-0.9051549145849032,193.0,nan,0.07,3.0,2.0,1.81,25194,1962-02-19,-0.9859812780042356,79561,'six',Moran,medium,make,0.9859812780042356
Colleen,0.5956375669650977,0.0,-1.151991228850351,0.72,0.0,0.69,0.03,Manager,1.3520965626297596,-0.6,0.0,0.7587606534663386,149.0,'race',0.07,4.0,2.0,-0.6,25757,1944-11-21,-1.3520965626297596,06158,'once',Logan,medium,piece,1.3520965626297596
Katie,1.0806442264373326,0.0,nan,0.83,0.0,0.57,0.03,Marketing,1.0940207208179011,1.08,0.0,-0.4029499467675281,137.0,'oil',0.07,3.0,2.0,1.08,19722,2004-10-07,-1.0940207208179011,45955,'become',Banks,medium,energy,1.0940207208179011
Alex,1.4503741898655127,1.0,-0.35917474846500946,0.53,1.0,0.8,0.03,Manager,nan,1.45,0.0,-0.9258915404379147,225.0,'whole',0.07,2.0,7.0,1.45,24136,1940-04-30,-0.06545202727966426,90128,'report',Hamilton,high,expect,0.06545202727966426
Nicholas,0.8821899862127052,1.0,-0.9998973935161205,0.58,0.0,0.57,0.03,Sales,nan,-0.88,0.0,0.9180584553147118,144.0,'American',0.07,3.0,4.0,-0.88,29471,2017-03-08,-1.2530717888533316,28926,'six',Richard,medium,ground,1.2530717888533316
Tracy,0.8228365704957067,0.0,0.09915628964805373,0.44,0.0,0.61,0.03,Marketing,-0.2843206751036511,0.82,0.0,-0.6135194791495041,230.0,'drop',0.07,5.0,6.0,0.82,25044,2000-04-13,-0.2843206751036511,94707,'show',Garcia,low,tax,0.2843206751036511
Bryan,0.6340014873215554,0.0,-0.30290594993759745,0.41,0.0,0.55,0.03,,0.18343458181089412,0.63,1.0,-0.36223689179773816,161.0,'find',0.07,2.0,3.0,0.63,11068,1971-08-25,-0.18343458181089412,50221,'report',Williams,low,continue,0.18343458181089412
Matthew,1.3515156898121026,0.0,-0.3401329015537819,0.68,0.0,0.84,0.03,Manager,0.6551089408420698,-1.35,0.0,1.0593452064928144,239.0,'order',0.07,3.0,2.0,-1.35,28519,1961-05-10,-0.6551089408420698,06232,'matter',Smith,medium,thank,0.6551089408420698
Amber,0.516230731801459,0.0,-2.770140812710232,0.43,0.0,0.53,0.03,Marketing,2.827204430582768,0.52,1.0,0.4400961381612791,146.0,'relate',0.07,2.0,3.0,0.52,21325,1915-11-22,-2.827204430582768,69387,'once',Green,low,site,2.827204430582768
Amy,1.1385567747593732,,0.9378735903541953,,,,0.03,,nan,1.14,,-1.082144494107462,,'beyond',0.07,,,1.14,22345,2022-05-31,-1.2430556558308288,85419,'trade',Cook,,minute,1.2430556558308288
Alexander,1.3068711170162324,0.0,-2.3896490009415303,0.45,0.0,0.57,0.03,,2.2513490794626083,1.31,1.0,-0.23249478698926984,151.0,'center',0.07,2.0,3.0,1.31,12034,1967-01-04,-2.2513490794626083,49404,'fill',Robles,low,data,2.2513490794626083
Allison,0.10681099889160806,0.0,-2.0084813777344657,0.16,1.0,0.93,0.03,Manager,2.1545726010957944,-0.11,0.0,0.6609204287201585,210.0,'close',0.07,5.0,7.0,-0.11,10125,2000-08-09,-2.1545726010957944,50631,'four',Romero,medium,month,2.1545726010957944
Dylan,0.5666141540565275,0.0,-1.5777215597041812,0.72,0.0,0.55,0.03,Inventory Management,1.5508879923781165,0.57,0.0,0.05697057471963622,202.0,'animal',0.07,4.0,3.0,0.57,23305,1940-02-04,-1.5508879923781165,90688,'reality',Ewing,low,fund,1.5508879923781165
Nancy,1.532677268122861,0.0,-1.7830689538278457,0.87,0.0,0.87,0.03,Sales,1.5585201362171914,1.53,0.0,-0.5696177193865957,207.0,'tonight',0.07,5.0,2.0,1.53,14118,1916-06-12,-1.5585201362171914,47058,'four',Ashley,high,always,1.5585201362171914
Christopher,1.0592603815493926,0.0,-0.7424200503480567,0.58,0.0,1.0,0.03,Customer Service,1.0183880336632838,-1.06,0.0,0.9688716301237926,258.0,'rate',0.07,4.0,3.0,-1.06,20182,1965-12-10,-1.0183880336632838,89711,'rise',Figueroa,medium,sit,1.0183880336632838
Eric,1.2863970022190674,0.0,-0.22985435529371812,0.62,0.0,0.92,0.03,,0.5239117188629725,-1.29,0.0,0.9809555461075005,149.0,'professor',0.07,5.0,3.0,-1.29,26789,1916-08-29,-0.5239117188629725,58093,'give',Reyes,low,worry,0.5239117188629725
Daniel,0.8040654535116798,0.0,-4.153022513579306,0.52,0.0,0.38,0.03,Customer Service,4.2320153170543175,0.8,0.0,0.6383906501967875,103.0,'then',0.07,2.0,3.0,0.8,21568,1991-02-01,-4.2320153170543175,77353,'rise',Miller,medium,possible,4.2320153170543175
Sean,3.082479437042161,0.0,2.179940544521962,0.68,0.0,0.66,0.03,,-1.6423329796867252,-3.08,0.0,1.555173954274206,229.0,'reality',0.07,4.0,3.0,-3.08,29896,1934-07-10,-1.6423329796867252,25888,'trade',Kim,medium,activity,1.6423329796867252
Ebony,0.7167179917186437,0.0,-1.1381524486160346,0.19,0.0,0.99,0.03,Sales,nan,-0.72,0.0,0.8407590904486019,154.0,'anything',0.07,3.0,2.0,-0.72,29824,2016-07-14,-1.3637659160220788,24187,'themselves',Smith,high,yard,1.3637659160220788
Taylor,0.9433811863503268,0.0,-0.5253705478409807,0.8,0.0,0.57,0.03,Sales,0.7628409328608248,-0.94,0.0,0.823315693166795,176.0,'his',0.07,3.0,3.0,-0.94,16539,1961-11-07,-0.7628409328608248,01864,'sometimes',Thompson,high,TV,0.7628409328608248
Melissa,1.6835473944305122,0.0,0.15532707712257415,0.39,0.0,0.53,0.03,Sales,0.2016161763759715,-1.68,1.0,nan,146.0,'season',0.07,2.0,3.0,-1.68,18024,1974-02-10,-0.2016161763759715,39804,'cup',Thompson,low,national,0.2016161763759715
Adam,1.241557936164972,0.0,-2.184908044087468,0.8,0.0,0.89,0.03,Inventory Management,2.048301932828178,1.24,0.0,-0.24572569404804367,166.0,'order',0.07,2.0,3.0,1.24,10967,2000-01-30,-2.048301932828178,59661,'far',Simpson,medium,yeah,2.048301932828178
Richard,0.868699511313479,0.0,-1.2058032983649265,0.7,0.0,0.7,0.03,Sales,1.090470159279075,0.87,0.0,-0.26599764270935294,224.0,'operation',0.07,3.0,3.0,0.87,19404,1989-11-24,-1.090470159279075,98794,'money',Miller,low,blood,1.090470159279075
Miguel,1.0730165120106518,0.0,-0.7055472329339166,0.86,0.0,0.69,0.03,,0.982254182977459,-1.07,0.0,0.9679052597601343,157.0,'hotel',0.07,5.0,3.0,-1.07,16755,1970-04-27,-0.982254182977459,19620,'big',Wilson,low,start,0.982254182977459
Johnny,0.3925828173843233,0.0,-1.549126162519638,0.09,0.0,0.9,0.03,Inventory Management,1.7293238433190248,-0.39,1.0,0.7301646278399095,296.0,'indeed',0.07,7.0,4.0,-0.39,22871,1936-12-14,-1.7293238433190248,59497,'serious',Thomas,medium,word,1.7293238433190248
Andrew,0.3431768106569165,0.0,-0.5613932639373237,0.69,0.0,0.83,0.03,Manager,0.5210327964955179,0.34,0.0,nan,225.0,'decision',0.07,5.0,3.0,0.34,21022,1932-07-12,-0.5210327964955179,88962,'usually',Villarreal,low,behind,0.5210327964955179
Michael,1.828713155987842,0.0,0.5103541418248719,0.1,0.0,0.84,0.03,,-0.1435280377393442,-1.83,1.0,1.1506713685173042,261.0,'attorney',0.07,6.0,4.0,-1.83,12346,1983-08-29,-0.1435280377393442,15155,'wind',Williams,medium,foot,0.1435280377393442
Cindy,1.162665912721144,0.0,nan,0.69,0.0,0.63,0.03,Customer Service,1.360596728034638,1.16,0.0,nan,252.0,'campaign',0.07,2.0,3.0,1.16,10268,2019-01-18,-1.360596728034638,87045,'serious',Oconnor,low,long,1.360596728034638
Danielle,0.585477325920964,0.0,-1.2156397557941405,0.54,1.0,0.92,0.03,Marketing,1.4174264632620441,-0.59,0.0,0.7700811734280288,228.0,'section',0.07,4.0,3.0,-0.59,26345,2015-08-27,-1.4174264632620441,64811,'always',Sheppard,medium,there,1.4174264632620441
Wendy,1.1515932309706756,1.0,-0.4248856294823742,0.55,0.0,0.98,0.03,Marketing,nan,-1.15,0.0,0.9419841519336513,185.0,'value',0.07,4.0,2.0,-1.15,21893,1971-02-13,-0.7015298977162922,16792,'give',Graves,low,despite,0.7015298977162922
Katrina,1.1316247602376541,0.0,-0.5538812240506165,0.24,0.0,0.89,0.03,Customer Service,nan,-1.13,0.0,nan,142.0,'position',0.07,5.0,4.0,-1.13,20396,1960-02-10,-0.8340687449788329,68537,'focus',Walker,medium,give,0.8340687449788329
Brandon,1.4514355394017615,0.0,-0.1474891857146599,0.09,0.0,0.8,0.03,Inventory Management,0.47243146325022856,-1.45,1.0,1.0742265172952874,304.0,'sell',0.07,6.0,5.0,-1.45,18061,1992-07-17,-0.47243146325022856,39239,'wind',Martin,medium,power,0.47243146325022856
Robin,1.1132825998059788,0.0,-0.7115647561371145,0.76,0.0,0.97,0.03,Sales,0.9974041242870659,-1.11,0.0,0.998267678816217,271.0,'dinner',0.07,3.0,3.0,-1.11,13547,1953-03-15,-0.9974041242870659,19007,'six',Soto,low,green,0.9974041242870659
Nicholas,1.4494703540261842,0.0,-2.018956288514578,0.39,0.0,0.49,0.03,Inventory Management,1.826945731399964,1.45,1.0,-0.44178883389580376,129.0,'vote',0.07,2.0,3.0,1.45,17668,1939-11-15,-1.826945731399964,09879,'always',Hernandez,medium,he,1.826945731399964
Shelly,0.6394990383573709,1.0,-2.393017629130559,0.87,0.0,0.41,0.03,,nan,0.64,0.0,nan,219.0,'land',0.07,3.0,3.0,0.64,10673,1979-06-03,-2.400184909605832,79996,'human',Johnson,low,audience,2.400184909605832
Jordan,1.78595216475999,1.0,0.42115305828289246,0.51,0.0,0.53,0.03,Customer Service,-0.058178663314756074,-1.79,0.0,1.1462715230677756,260.0,'best',0.07,4.0,2.0,-1.79,13112,2010-09-08,-0.058178663314756074,53843,'themselves',Brown,medium,Mr,0.058178663314756074
Samantha,1.4767297222958315,1.0,nan,0.66,0.0,0.96,0.03,Sales,nan,1.48,0.0,-0.7968080414273172,185.0,'story',0.07,4.0,2.0,1.48,23563,1971-01-07,-0.5982007805802247,12407,'always',Byrd,medium,table,0.5982007805802247
Alicia,1.0955057732228028,0.0,-0.5861155278494897,0.7,0.0,0.5,0.03,Customer Service,0.8604128499839488,-1.1,0.0,0.9490961844690857,214.0,'rock',0.07,6.0,5.0,-1.1,29678,1982-12-27,-0.8604128499839488,26113,'once',Johnson,medium,American,0.8604128499839488
Michael,0.048248364985741365,0.0,-2.0413253856111675,0.67,0.0,0.83,0.03,Inventory Management,2.17667858426807,-0.05,0.0,nan,260.0,'listen',0.07,3.0,3.0,-0.05,11564,2003-08-21,-2.17667858426807,99225,'once',Johnson,low,face,2.17667858426807
Kevin,1.7009046829934862,0.0,0.058970448017071596,0.45,0.0,0.45,0.03,Marketing,0.3076441748802564,-1.7,1.0,1.1913404674088586,132.0,'activity',0.07,2.0,3.0,-1.7,13768,1925-05-08,-0.3076441748802564,64885,'region',Hamilton,low,establish,0.3076441748802564
Natalie,1.2795979279523966,0.0,-0.9945657203973642,0.74,0.0,0.63,0.03,Inventory Management,0.7768761418308732,1.28,0.0,-0.6194761046125677,238.0,'challenge',0.07,4.0,2.0,1.28,21133,1918-10-04,-0.7768761418308732,76947,'serious',Evans,low,we,0.7768761418308732
Savannah,0.8192003462031778,0.0,-2.605656585758922,0.71,0.0,0.8,0.03,,2.5867152280120838,0.82,0.0,0.1769209476959224,157.0,'beautiful',0.07,4.0,3.0,0.82,21901,1915-10-31,-2.5867152280120838,28081,'far',Wolfe,medium,race,2.5867152280120838
Amanda,2.4327102401245435,0.0,1.0890744719377372,0.38,0.0,0.52,0.03,Customer Service,-0.6261771398410492,-2.43,1.0,1.4112505934372495,153.0,'late',0.07,2.0,3.0,-2.43,26559,1909-01-20,-0.6261771398410492,96026,'exactly',Nelson,low,check,0.6261771398410492
Regina,2.675214199719312,1.0,1.4043211457634728,1.0,0.0,0.72,0.03,Sales,-0.9079211450832123,-2.68,0.0,nan,194.0,'its',0.07,5.0,7.0,-2.68,17976,1994-12-31,-0.9079211450832123,71092,'mention',Lara,medium,whose,0.9079211450832123
Rachel,0.41599818050498794,0.0,-1.4076052042801888,0.78,0.0,0.86,0.03,Marketing,nan,-0.42,1.0,0.7055794123141289,260.0,'design',0.07,5.0,6.0,-0.42,11150,1950-05-06,-1.5842438126070202,33175,'social',Davis,low,tree,1.5842438126070202
Deborah,0.5433056723816949,0.0,0.7154261340471106,0.56,0.0,0.8,0.03,,-0.8774396705662444,0.54,0.0,-0.5944155759894109,202.0,nan,0.07,5.0,4.0,0.54,18337,1949-10-21,-0.8774396705662444,85510,'pay',Rowe,low,expect,0.8774396705662444
Linda,1.3943562290618363,1.0,-0.12290831058735409,0.61,1.0,0.83,0.03,Inventory Management,nan,-1.39,0.0,1.026510934767818,245.0,'what',0.07,4.0,3.0,-1.39,14899,1968-11-15,-0.43392320938733686,03125,'give',Rodgers,low,couple,0.43392320938733686
Christine,2.0514028183196684,0.0,0.5054118943259263,0.77,0.0,0.42,0.03,Sales,-0.089812559455269,-2.05,0.0,1.310335167534935,98.0,'drug',0.07,4.0,2.0,-2.05,17267,2022-04-24,-0.089812559455269,62798,'give',Flowers,low,dinner,0.089812559455269
Jack,1.8287064119616199,0.0,0.3978014377548569,0.42,0.0,0.46,0.03,Marketing,-0.024092861553304035,-1.83,1.0,1.1834508844298253,141.0,'from',0.07,2.0,3.0,-1.83,21217,2013-10-16,-0.024092861553304035,97119,'none',Carpenter,medium,agency,0.024092861553304035
Colleen,1.5629751994588061,1.0,0.0508809129459709,0.57,0.0,0.89,0.03,Inventory Management,0.28620655096357694,-1.56,0.0,1.0956958927991098,255.0,'Congress',0.07,4.0,3.0,-1.56,21881,1974-07-12,-0.28620655096357694,45818,'matter',Walker,low,century,0.28620655096357694
Darren,1.5131426357980668,0.0,-1.3513588629423212,0.58,0.0,0.85,0.03,Sales,1.1046577614615456,1.51,0.0,-0.681486427333708,162.0,'exist',0.07,4.0,3.0,1.51,20547,1923-10-28,-1.1046577614615456,87157,'professional',Rodgers,medium,capital,1.1046577614615456
Kim,0.7558469708147126,0.0,-0.7375739091459712,0.93,1.0,0.95,0.03,,0.618166606231304,0.76,0.0,-0.3221999553358163,176.0,'sea',0.07,5.0,6.0,0.76,24594,1970-11-04,-0.618166606231304,02165,'cup',Baldwin,medium,public,0.618166606231304
Dawn,1.0459727463258621,0.0,-2.0777464100842438,0.44,0.0,0.51,0.03,Inventory Management,1.9771574418164704,1.05,1.0,-0.1379735891923749,156.0,'two',0.07,2.0,3.0,1.05,13846,1939-02-14,-1.9771574418164704,40896,'here',Gomez,high,approach,1.9771574418164704
Julie,1.2795817326169496,0.0,-0.424826794421891,0.33,1.0,0.65,0.03,Marketing,0.7293256262440292,-1.28,0.0,1.032904694417591,172.0,'kid',0.07,3.0,10.0,-1.28,28876,1929-12-03,-0.7293256262440292,88913,'matter',Smith,high,down,0.7293256262440292
Meghan,1.0099060750120439,0.0,-0.8241006333596911,0.37,0.0,0.54,0.03,Customer Service,0.6546866000293571,1.01,1.0,-0.47750914978592024,157.0,'though',0.07,2.0,3.0,1.01,28353,2013-12-15,-0.6546866000293571,83553,'matter',Rodriguez,low,series,0.6546866000293571
Jennifer,0.20132716784169746,0.0,-2.3738335983359873,0.96,0.0,0.58,0.03,,2.475200668515124,0.2,0.0,0.5484034604452794,178.0,'community',0.07,5.0,3.0,0.2,29933,1909-04-02,-2.475200668515124,42606,'four',Anderson,low,anything,2.475200668515124
Jessica,1.276233627613661,1.0,-0.5558243119439513,0.8,0.0,0.67,0.03,,0.8676064507223415,-1.28,0.0,1.0686827231226217,236.0,'prove',0.07,3.0,3.0,-1.28,24590,1976-11-18,-0.8676064507223415,78898,'old',Mcintosh,low,miss,0.8676064507223415
Nicholas,0.18031599343906302,1.0,-1.794375218082188,0.57,1.0,0.85,0.03,Marketing,1.9433704998293655,-0.18,0.0,0.6507820310597353,250.0,'full',0.07,4.0,3.0,-0.18,11038,2011-11-15,-1.9433704998293655,47141,nan,Carpenter,low,right,1.9433704998293655
Amy,0.9445972740332734,0.0,-2.2087599546877805,0.48,0.0,0.52,0.03,Administration,2.1382495586539685,0.94,0.0,-0.027783277132312798,280.0,'baby',0.07,3.0,2.0,0.94,21193,1994-03-01,-2.1382495586539685,87056,'light',Collins,medium,hotel,2.1382495586539685
Jasmine,0.44085186925909137,1.0,-1.4936111676162387,0.93,0.0,0.52,0.03,Administration,1.680919755988331,-0.44,0.0,0.7482901007036961,229.0,'tell',0.07,3.0,2.0,-0.44,17907,1986-10-15,-1.680919755988331,27261,'money',Diaz,medium,just,1.680919755988331
Cheryl,1.8810652444126519,0.0,0.4603940038353396,0.09,0.0,0.94,0.03,Sales,-0.07911721039277708,-1.88,1.0,1.2024206533274724,247.0,'any',0.07,7.0,4.0,-1.88,24857,1954-04-18,-0.07911721039277708,17677,'trade',Andrews,medium,music,0.07911721039277708
Cheyenne,1.2678967350052157,0.0,-0.5563186837185556,0.56,0.0,0.75,0.03,Customer Service,0.8663164391446072,-1.27,0.0,1.0629032408680015,143.0,'world',0.07,5.0,5.0,-1.27,14112,1966-11-19,-0.8663164391446072,33647,nan,Calhoun,medium,activity,0.8663164391446072
David,1.287144634785958,0.0,-0.18027294895793974,0.43,0.0,0.47,0.03,Sales,-0.08886297002449361,1.29,1.0,-0.8620250290011698,135.0,'foot',0.07,2.0,3.0,1.29,11205,1958-11-05,-0.08886297002449361,85249,'individual',King,low,half,0.08886297002449361
Ryan,0.7293051547528098,0.0,-0.7598531897321849,0.86,0.0,0.87,0.03,Sales,0.6475856605071457,0.73,0.0,-0.29685211133782885,268.0,'weight',0.07,3.0,2.0,0.73,16181,1965-12-10,-0.6475856605071457,16681,'focus',Fuller,high,management,0.6475856605071457
Christina,0.8511488072865416,0.0,-0.971431086802823,0.74,0.0,0.96,0.03,Inventory Management,0.8455834036988573,0.85,1.0,-0.3217954600383152,231.0,'program',0.07,4.0,5.0,0.85,23378,1979-06-06,-0.8455834036988573,78541,'free',Bowen,low,arrive,0.8455834036988573
Jacqueline,1.8454434884685607,0.0,0.4649283886889004,0.71,0.0,0.53,0.03,Sales,-0.09168240978036302,-1.85,0.0,1.1757901071239996,203.0,'recent',0.07,6.0,3.0,-1.85,23432,1936-11-15,-0.09168240978036302,22610,'data',Vargas,medium,name,0.09168240978036302
Belinda,0.7812342930512884,0.0,-1.1517504405633407,0.44,0.0,0.56,0.03,Sales,nan,-0.78,1.0,0.8905596726267235,141.0,'response',0.07,2.0,3.0,-0.78,23302,1990-05-09,-1.3922382986257837,66177,'southern',Young,low,beautiful,1.3922382986257837
Adrienne,2.412680172234226,0.0,1.0118309953022864,0.67,0.0,0.58,0.03,Customer Service,-0.5485690769864788,-2.41,0.0,1.4195183904306954,158.0,'mind',0.07,4.0,3.0,-2.41,16744,1932-12-13,-0.5485690769864788,36619,'wind',Jones,medium,draw,0.5485690769864788
Kevin,1.141630351618011,0.0,-2.0105835732053094,0.75,1.0,0.63,0.03,Sales,1.8850658240790503,1.14,0.0,nan,209.0,'look',0.07,4.0,3.0,1.14,17753,1928-09-24,-1.8850658240790503,78080,'four',Robertson,medium,perhaps,1.8850658240790503
